Year,SCL,Species
1985,95.2,Caretta caretta
1985,95.5,Caretta caretta
1985,95.6,Caretta caretta
1985,96.5,Caretta caretta
1985,96.5,Caretta caretta
1985,96.8,Caretta caretta
1985,96.8,Caretta caretta
1985,96.9,Caretta caretta
1985,97.1,Caretta caretta
1985,97.4,Caretta caretta
1985,97.5,Caretta caretta
1985,97.6,Caretta caretta
1985,97.7,Caretta caretta
1985,97.8,Caretta caretta
1985,97.8,Caretta caretta
1985,97.8,Caretta caretta
1985,98.1,Caretta caretta
1985,98.1,Caretta caretta
1985,98.4,Caretta caretta
1985,98.7,Caretta caretta
1985,98.8,Caretta caretta
1985,99.5,Caretta caretta
1985,99.9,Caretta caretta
1985,100.1,Caretta caretta
1985,100.1,Caretta caretta
1985,101,Caretta caretta
1985,101.3,Caretta caretta
1985,101.4,Caretta caretta
1985,101.8,Caretta caretta
1985,101.9,Caretta caretta
1986,78,Caretta caretta
1986,79.4,Caretta caretta
1986,79.7,Caretta caretta
1986,79.9,Caretta caretta
1986,80.3,Caretta caretta
1986,81.8,Caretta caretta
1986,82.8,Caretta caretta
1986,83.9,Caretta caretta
1986,83.9,Caretta caretta
1986,84.8,Caretta caretta
1986,84.9,Caretta caretta
1986,85.8,Caretta caretta
1986,85.8,Caretta caretta
1986,86.2,Caretta caretta
1986,86.5,Caretta caretta
1986,86.7,Caretta caretta
1986,87,Caretta caretta
1986,87,Caretta caretta
1986,87.2,Caretta caretta
1986,87.4,Caretta caretta
1986,88,Caretta caretta
1986,88.1,Caretta caretta
1986,88.3,Caretta caretta
1986,88.5,Caretta caretta
1986,88.8,Caretta caretta
1986,88.8,Caretta caretta
1986,88.9,Caretta caretta
1986,89,Caretta caretta
1986,89,Caretta caretta
1986,89,Caretta caretta
1986,89.1,Caretta caretta
1986,89.4,Caretta caretta
1986,89.5,Caretta caretta
1986,89.7,Caretta caretta
1986,89.9,Caretta caretta
1986,89.9,Caretta caretta
1986,89.9,Caretta caretta
1986,90,Caretta caretta
1986,90,Caretta caretta
1986,90.2,Caretta caretta
1986,90.3,Caretta caretta
1986,90.4,Caretta caretta
1986,90.8,Caretta caretta
1986,90.9,Caretta caretta
1986,90.9,Caretta caretta
1986,90.9,Caretta caretta
1986,91,Caretta caretta
1986,91.1,Caretta caretta
1986,91.1,Caretta caretta
1986,91.3,Caretta caretta
1986,91.4,Caretta caretta
1986,91.4,Caretta caretta
1986,91.5,Caretta caretta
1986,91.9,Caretta caretta
1986,92,Caretta caretta
1986,92.2,Caretta caretta
1986,92.2,Caretta caretta
1986,92.3,Caretta caretta
1986,92.4,Caretta caretta
1986,92.4,Caretta caretta
1986,92.6,Caretta caretta
1986,92.8,Caretta caretta
1986,92.9,Caretta caretta
1986,92.9,Caretta caretta
1986,93,Caretta caretta
1986,93,Caretta caretta
1986,93.2,Caretta caretta
1986,93.3,Caretta caretta
1986,93.8,Caretta caretta
1986,94.1,Caretta caretta
1986,94.2,Caretta caretta
1986,94.2,Caretta caretta
1986,94.2,Caretta caretta
1986,94.2,Caretta caretta
1986,94.3,Caretta caretta
1986,94.8,Caretta caretta
1986,95,Caretta caretta
1986,95,Caretta caretta
1986,95.1,Caretta caretta
1986,95.1,Caretta caretta
1986,95.3,Caretta caretta
1986,95.6,Caretta caretta
1986,95.9,Caretta caretta
1986,96,Caretta caretta
1986,96.9,Caretta caretta
1986,97.2,Caretta caretta
1986,97.7,Caretta caretta
1986,97.8,Caretta caretta
1986,99.9,Caretta caretta
1986,100.9,Caretta caretta
1986,101,Caretta caretta
1987,78.2,Caretta caretta
1987,80.8,Caretta caretta
1987,84.1,Caretta caretta
1987,84.4,Caretta caretta
1987,85,Caretta caretta
1987,85.5,Caretta caretta
